Age,Gender,Weight (kg),Height (m),Max_BPM,Avg_BPM,Resting_BPM,Session_Duration (hours),Workout_Type,Fat_Percentage,Water_Intake (liters),Workout_Frequency (days/week),Experience_Level,BMI,Base_MET,HR_Intensity,Effective_MET,Calories_Burned (kcal)
36,Female,63.6,1.65,186.0,167.0,62.0,0.87,HIIT,16.0,3.6,6,Advanced,23.3,9.5,0.8467741935483871,8.044354838709678,445.1
28,Male,79.4,1.75,197.0,177.0,67.0,0.92,HIIT,23.2,3.7,3,Intermediate,26.0,9.5,0.8461538461538461,8.038461538461538,587.2
18,Female,78.0,1.74,205.0,185.0,69.0,1.13,HIIT,19.5,4.2,5,Advanced,25.9,9.5,0.8529411764705882,8.102941176470589,714.2
41,Male,56.3,1.77,177.0,141.0,73.0,0.83,Cardio,17.7,2.7,6,Advanced,18.0,7.0,0.6538461538461539,4.576923076923077,213.9
24,Female,73.9,1.68,200.0,163.0,75.0,0.25,Strength,25.6,2.8,2,Beginner,26.1,6.0,0.704,4.224,78.0
42,Male,62.4,1.59,172.0,141.0,67.0,0.52,Strength,25.2,3.0,2,Beginner,24.7,6.0,0.7047619047619048,4.228571428571429,137.2
38,Female,70.7,1.63,179.0,145.0,65.0,1.3,Strength,24.3,4.0,6,Advanced,26.5,6.0,0.7017543859649122,4.2105263157894735,387.0
32,Female,83.1,1.71,196.0,140.0,71.0,0.71,Yoga,18.3,3.7,5,Intermediate,28.3,3.0,0.552,1.656,97.7
18,Female,81.2,1.86,203.0,171.0,74.0,0.91,Mixed,18.9,4.2,4,Intermediate,23.4,8.0,0.751937984496124,6.015503875968992,444.5
29,Female,77.2,1.63,192.0,155.0,68.0,1.03,Strength,24.2,4.3,3,Intermediate,29.0,6.0,0.7016129032258065,4.209677419354839,334.7
24,Male,63.4,1.76,195.0,159.0,74.0,0.35,Strength,18.0,3.0,3,Intermediate,20.4,6.0,0.7024793388429752,4.214876033057851,93.5
32,Female,54.9,1.65,197.0,166.0,74.0,0.48,Mixed,26.2,3.4,5,Intermediate,20.2,8.0,0.7479674796747967,5.983739837398374,157.7
38,Female,73.5,1.69,185.0,168.0,74.0,0.76,HIIT,30.8,3.2,3,Beginner,25.7,9.5,0.8468468468468469,8.045045045045045,449.4
36,Male,75.6,1.83,191.0,139.0,74.0,0.4,Yoga,24.4,3.3,5,Intermediate,22.5,3.0,0.5555555555555556,1.6666666666666667,50.4
46,Female,77.3,1.76,171.0,130.0,80.0,0.25,Yoga,26.7,3.2,2,Beginner,25.0,3.0,0.5494505494505495,1.6483516483516485,31.9
42,Male,77.4,1.56,173.0,145.0,60.0,1.1,Mixed,18.0,4.5,5,Advanced,32.0,8.0,0.7522123893805309,6.017699115044247,512.3
50,Male,67.3,1.62,166.0,132.0,70.0,0.93,Cardio,16.0,3.4,6,Advanced,25.6,7.0,0.6458333333333334,4.520833333333334,283.0
49,Female,81.0,1.81,174.0,127.0,69.0,0.95,Yoga,25.1,3.8,3,Intermediate,24.8,3.0,0.5523809523809524,1.6571428571428573,127.5
52,Female,58.9,1.69,176.0,139.0,69.0,0.77,Cardio,25.4,3.0,3,Intermediate,20.5,7.0,0.6542056074766355,4.579439252336448,207.7
55,Male,44.1,1.57,169.0,155.0,74.0,0.44,HIIT,25.0,2.7,2,Beginner,18.0,9.5,0.8526315789473684,8.1,157.2
43,Female,60.6,1.6,181.0,136.0,81.0,0.53,Yoga,26.5,4.1,3,Beginner,23.7,3.0,0.55,1.65,53.0
28,Male,86.6,1.75,193.0,143.0,81.0,0.77,Yoga,9.7,3.7,2,Beginner,28.3,3.0,0.5535714285714286,1.6607142857142858,110.7
52,Female,71.9,1.78,162.0,149.0,77.0,0.83,HIIT,34.1,3.6,3,Beginner,22.7,9.5,0.8470588235294118,8.047058823529412,480.2
25,Female,72.4,1.68,205.0,163.0,66.0,0.86,Strength,15.7,3.7,5,Advanced,25.6,6.0,0.697841726618705,4.18705035971223,260.7
31,Male,104.9,1.9,192.0,152.0,59.0,1.07,Strength,14.8,3.5,7,Expert,29.7,6.0,0.6992481203007519,4.195488721804511,481.2
27,Female,92.0,1.76,196.0,179.0,85.0,0.58,HIIT,21.6,2.8,3,Beginner,29.6,9.5,0.8468468468468469,8.045045045045045,429.3
19,Female,70.5,1.66,205.0,172.0,72.0,0.53,Mixed,33.4,4.0,2,Beginner,25.7,8.0,0.7518796992481203,6.015037593984962,224.8
26,Female,63.1,1.6,185.0,141.0,58.0,1.36,Cardio,19.4,3.6,6,Expert,24.7,7.0,0.6535433070866141,4.574803149606299,392.6
20,Male,45.1,1.58,197.0,165.0,67.0,1.02,Mixed,17.3,4.4,7,Advanced,18.0,8.0,0.7538461538461538,6.030769230769231,277.4
38,Female,63.1,1.71,185.0,155.0,65.0,0.74,Mixed,18.6,4.0,4,Intermediate,21.5,8.0,0.75,6.0,280.2
43,Male,60.9,1.63,176.0,126.0,65.0,1.44,Yoga,11.7,3.9,7,Expert,22.9,3.0,0.5495495495495496,1.648648648648649,144.6
25,Female,70.3,1.85,195.0,148.0,63.0,0.47,Cardio,21.3,2.1,4,Intermediate,20.6,7.0,0.6439393939393939,4.507575757575758,148.9
19,Male,83.4,1.83,205.0,169.0,61.0,1.04,Mixed,19.1,4.7,7,Advanced,25.0,8.0,0.75,6.0,520.4
23,Female,96.2,1.74,198.0,157.0,63.0,1.13,Strength,23.7,3.6,6,Advanced,31.6,6.0,0.6962962962962963,4.177777777777778,454.1
45,Female,73.4,1.56,187.0,158.0,70.0,0.25,Mixed,21.7,3.5,2,Beginner,30.1,8.0,0.7521367521367521,6.017094017094017,110.4
46,Male,65.0,1.61,174.0,144.0,75.0,0.7,Strength,18.4,3.6,3,Intermediate,25.0,6.0,0.696969696969697,4.181818181818182,190.3
43,Female,88.4,1.81,181.0,147.0,68.0,0.58,Strength,19.9,3.3,2,Beginner,27.1,6.0,0.6991150442477876,4.1946902654867255,215.1
42,Male,55.6,1.62,180.0,140.0,65.0,0.43,Cardio,20.8,2.9,3,Intermediate,21.1,7.0,0.6521739130434783,4.565217391304348,109.1
29,Female,95.9,1.79,188.0,136.0,72.0,0.9,Yoga,25.2,3.4,3,Beginner,29.9,3.0,0.5517241379310345,1.6551724137931034,142.9
22,Male,53.7,1.73,193.0,157.0,74.0,1.13,Strength,26.7,4.1,4,Intermediate,18.0,6.0,0.6974789915966386,4.184873949579831,253.9
51,Female,78.5,1.69,169.0,155.0,77.0,0.77,HIIT,24.2,3.4,5,Intermediate,27.7,9.5,0.8478260869565217,8.054347826086957,486.8
54,Male,67.3,1.61,176.0,132.0,78.0,0.47,Yoga,18.7,3.7,2,Beginner,26.0,3.0,0.5510204081632653,1.6530612244897958,52.3
32,Female,58.5,1.67,186.0,168.0,68.0,0.28,HIIT,25.5,2.6,2,Beginner,21.0,9.5,0.847457627118644,8.050847457627118,131.9
53,Male,66.9,1.7,170.0,137.0,62.0,0.97,Strength,16.4,3.4,6,Advanced,23.2,6.0,0.6944444444444444,4.166666666666666,270.4
32,Male,61.9,1.78,187.0,154.0,78.0,0.8,Strength,23.3,4.0,5,Intermediate,19.5,6.0,0.6972477064220184,4.18348623853211,207.2
40,Female,49.7,1.59,181.0,141.0,65.0,1.26,Cardio,20.2,3.8,5,Advanced,19.6,7.0,0.6551724137931034,4.586206896551724,287.2
23,Male,49.2,1.65,203.0,181.0,58.0,1.35,HIIT,16.8,4.0,7,Advanced,18.0,9.5,0.8482758620689655,8.058620689655173,535.3
38,Male,76.8,1.68,183.0,158.0,85.0,0.53,Mixed,24.8,4.2,2,Beginner,27.1,8.0,0.7448979591836735,5.959183673469388,242.6
40,Female,87.9,1.75,177.0,149.0,67.0,0.73,Mixed,19.8,4.4,4,Intermediate,28.8,8.0,0.7454545454545455,5.963636363636364,382.7
33,Female,45.5,1.59,195.0,136.0,65.0,0.66,Yoga,21.1,3.9,7,Advanced,18.0,3.0,0.5461538461538461,1.6384615384615384,49.2
32,Female,75.2,1.55,185.0,132.0,67.0,0.61,Yoga,25.4,3.6,3,Intermediate,31.4,3.0,0.5508474576271186,1.652542372881356,75.8
42,Female,73.1,1.75,181.0,144.0,55.0,1.17,Strength,18.3,4.2,7,Expert,24.0,6.0,0.7063492063492064,4.238095238095238,362.5
53,Female,58.8,1.53,160.0,147.0,76.0,0.69,HIIT,31.5,3.0,4,Intermediate,25.2,9.5,0.8452380952380952,8.029761904761905,325.8
28,Female,59.2,1.81,198.0,154.0,71.0,0.91,Cardio,17.9,2.6,4,Intermediate,18.1,7.0,0.6535433070866141,4.574803149606299,246.5
32,Male,81.1,1.66,201.0,154.0,67.0,1.25,Cardio,17.4,3.8,7,Advanced,29.3,7.0,0.6492537313432836,4.544776119402985,460.7
21,Male,57.7,1.53,199.0,140.0,69.0,0.5,Yoga,27.3,4.0,3,Beginner,24.8,3.0,0.5461538461538461,1.6384615384615384,47.3
38,Male,76.1,1.63,177.0,150.0,69.0,1.08,Mixed,22.2,4.2,5,Intermediate,28.6,8.0,0.75,6.0,493.1
30,Female,85.2,1.72,194.0,157.0,72.0,0.87,Strength,25.8,3.0,3,Beginner,28.9,6.0,0.6967213114754098,4.1803278688524586,309.9
39,Female,77.6,1.63,181.0,148.0,71.0,0.49,Strength,26.8,2.8,3,Beginner,29.3,6.0,0.7,4.199999999999999,159.7
36,Male,60.6,1.68,195.0,165.0,77.0,0.55,Mixed,26.9,4.0,3,Beginner,21.4,8.0,0.7457627118644068,5.966101694915254,198.9
51,Male,71.3,1.75,166.0,151.0,68.0,0.77,HIIT,27.9,3.3,5,Intermediate,23.2,9.5,0.8469387755102041,8.045918367346939,441.7
31,Female,59.4,1.66,182.0,154.0,68.0,1.29,Mixed,19.8,5.0,6,Advanced,21.6,8.0,0.7543859649122807,6.035087719298246,462.4
21,Male,69.4,1.59,201.0,146.0,79.0,0.74,Yoga,30.2,3.8,2,Beginner,27.6,3.0,0.5491803278688525,1.6475409836065575,84.6
44,Female,69.0,1.65,179.0,150.0,63.0,1.07,Mixed,20.0,5.0,4,Advanced,25.3,8.0,0.75,6.0,443.0
46,Female,93.8,1.82,170.0,142.0,77.0,0.98,Strength,31.4,3.8,3,Beginner,28.3,6.0,0.6989247311827957,4.193548387096774,385.5
45,Male,97.2,1.85,180.0,142.0,73.0,0.78,Cardio,26.4,3.2,3,Beginner,28.5,7.0,0.6448598130841121,4.5140186915887845,342.2
52,Female,39.3,1.48,168.0,151.0,56.0,1.645,HIIT,17.5,4.2,6,Expert,18.0,9.5,0.8482142857142857,8.058035714285714,525.7
25,Female,94.1,1.79,194.0,138.0,70.0,0.53,Yoga,31.5,3.1,3,Beginner,29.4,3.0,0.5483870967741935,1.6451612903225803,82.0
33,Female,80.8,1.71,190.0,150.0,75.0,0.46,Cardio,21.8,2.6,2,Beginner,27.8,7.0,0.6521739130434783,4.565217391304348,169.7
59,Female,70.8,1.77,160.0,137.0,71.0,0.34,Mixed,30.4,3.1,3,Beginner,22.5,8.0,0.7415730337078652,5.932584269662922,142.8
53,Male,67.1,1.62,163.0,135.0,82.0,0.61,Cardio,17.6,2.6,3,Beginner,25.4,7.0,0.654320987654321,4.580246913580247,187.5
47,Female,53.1,1.5,165.0,152.0,78.0,1.01,HIIT,28.1,3.3,3,Intermediate,23.5,9.5,0.8505747126436781,8.080459770114942,433.4
35,Female,80.0,1.74,182.0,166.0,77.0,0.51,HIIT,30.8,2.6,2,Beginner,26.5,9.5,0.8476190476190476,8.052380952380952,328.5
19,Male,56.6,1.59,205.0,185.0,71.0,0.74,HIIT,22.3,3.1,3,Intermediate,22.5,9.5,0.8507462686567164,8.082089552238806,338.5
30,Female,61.6,1.54,190.0,154.0,70.0,0.94,Strength,24.4,3.8,4,Intermediate,25.9,6.0,0.7,4.199999999999999,243.2
21,Female,58.2,1.55,194.0,177.0,82.0,0.35,HIIT,20.1,2.6,3,Intermediate,24.3,9.5,0.8482142857142857,8.058035714285714,164.1
43,Male,67.4,1.74,183.0,132.0,70.0,0.97,Yoga,8.0,3.9,7,Expert,22.3,3.0,0.5486725663716814,1.646017699115044,107.6
42,Male,71.0,1.69,178.0,152.0,74.0,1.03,Mixed,33.5,4.5,3,Beginner,24.8,8.0,0.75,6.0,438.8
47,Female,104.9,1.76,174.0,127.0,69.0,0.48,Yoga,28.2,3.3,4,Intermediate,34.8,3.0,0.5523809523809524,1.6571428571428573,85.7
28,Female,64.9,1.75,193.0,163.0,72.0,1.2,Mixed,16.5,4.3,5,Intermediate,21.3,8.0,0.7520661157024794,6.016528925619835,468.6
24,Male,61.7,1.64,203.0,163.0,69.0,0.57,Strength,25.1,3.3,3,Beginner,23.0,6.0,0.7014925373134329,4.208955223880597,148.0
48,Female,59.7,1.67,165.0,133.0,56.0,1.22,Strength,22.7,4.6,6,Advanced,21.3,6.0,0.7064220183486238,4.238532110091743,308.7
27,Female,57.7,1.63,200.0,139.0,63.0,0.79,Yoga,19.6,3.6,4,Intermediate,21.7,3.0,0.5547445255474452,1.6642335766423355,75.9
56,Female,75.0,1.66,168.0,154.0,73.0,0.33,HIIT,22.4,3.2,2,Beginner,27.3,9.5,0.8526315789473684,8.1,200.5
30,Male,67.3,1.58,190.0,154.0,70.0,0.7,Strength,27.0,3.1,3,Beginner,26.9,6.0,0.7,4.199999999999999,197.9
48,Female,70.9,1.72,168.0,146.0,82.0,0.37,Mixed,27.6,3.5,3,Beginner,24.0,8.0,0.7441860465116279,5.953488372093023,156.2
24,Male,89.8,1.79,195.0,160.0,58.0,0.9,Mixed,19.5,4.2,6,Advanced,28.1,8.0,0.7445255474452555,5.956204379562044,481.4
59,Male,69.4,1.6,161.0,115.0,58.0,0.74,Yoga,18.0,3.5,6,Advanced,27.2,3.0,0.5533980582524272,1.6601941747572817,85.3
59,Male,76.3,1.81,170.0,121.0,61.0,0.33,Yoga,18.5,3.1,4,Intermediate,23.4,3.0,0.5504587155963303,1.651376146788991,41.6
53,Male,51.5,1.69,174.0,159.0,72.0,0.32,HIIT,32.3,2.6,3,Beginner,18.0,9.5,0.8529411764705882,8.102941176470589,133.5
37,Female,79.3,1.7,181.0,164.0,68.0,0.96,HIIT,26.1,3.2,3,Intermediate,27.3,9.5,0.8495575221238938,8.070796460176991,614.4
21,Male,56.3,1.51,205.0,142.0,65.0,1.08,Yoga,15.8,3.9,5,Advanced,24.7,3.0,0.55,1.65,100.3
24,Female,54.1,1.5,201.0,155.0,70.0,0.77,Cardio,20.3,3.4,4,Intermediate,24.1,7.0,0.648854961832061,4.541984732824427,189.2
18,Male,63.6,1.69,204.0,158.0,72.0,0.54,Cardio,27.4,2.8,3,Beginner,22.1,7.0,0.6515151515151515,4.5606060606060606,156.6
59,Male,83.5,1.76,160.0,137.0,70.0,0.79,Mixed,25.8,4.3,3,Beginner,27.0,8.0,0.7444444444444445,5.955555555555556,392.9
30,Female,66.1,1.61,187.0,171.0,77.0,0.82,HIIT,24.8,3.5,3,Beginner,25.4,9.5,0.8545454545454545,8.118181818181817,440.0
39,Male,78.6,1.85,184.0,144.0,71.0,0.4,Cardio,31.8,2.8,2,Beginner,23.1,7.0,0.6460176991150443,4.522123893805309,142.2
38,Male,58.7,1.75,184.0,167.0,69.0,1.12,HIIT,16.6,3.3,6,Advanced,19.1,9.5,0.8521739130434782,8.095652173913043,532.2
39,Female,71.4,1.59,179.0,151.0,68.0,1.09,Mixed,28.6,4.6,3,Beginner,28.3,8.0,0.7477477477477478,5.981981981981982,465.6
45,Male,74.8,1.68,181.0,143.0,56.0,1.08,Strength,13.9,3.8,7,Expert,26.4,6.0,0.696,4.176,337.4
26,Male,90.3,1.9,195.0,143.0,80.0,1.15,Yoga,19.0,3.8,5,Intermediate,25.0,3.0,0.5478260869565217,1.643478260869565,170.7
43,Male,43.6,1.56,179.0,164.0,81.0,0.86,HIIT,21.4,3.9,4,Intermediate,18.0,9.5,0.8469387755102041,8.045918367346939,301.7
26,Female,71.6,1.73,199.0,165.0,63.0,1.19,Mixed,26.6,4.3,5,Intermediate,23.8,8.0,0.75,6.0,511.2
32,Male,62.5,1.65,192.0,153.0,81.0,0.89,Cardio,18.7,2.8,3,Beginner,23.0,7.0,0.6486486486486487,4.54054054054054,252.6
27,Female,66.0,1.75,185.0,159.0,83.0,0.82,Mixed,27.3,3.9,2,Beginner,21.5,8.0,0.7450980392156863,5.96078431372549,322.6
41,Female,88.2,1.81,183.0,165.0,65.0,1.2,HIIT,12.7,3.9,6,Expert,27.0,9.5,0.847457627118644,8.050847457627118,852.1
59,Female,72.4,1.64,161.0,138.0,70.0,0.85,Mixed,22.5,4.0,5,Intermediate,26.9,8.0,0.7472527472527473,5.978021978021978,367.9
25,Male,82.7,1.79,193.0,135.0,65.0,0.49,Yoga,30.4,3.4,3,Beginner,25.7,3.0,0.546875,1.640625,66.5
41,Male,101.6,1.9,179.0,153.0,75.0,0.34,Mixed,23.2,3.4,2,Beginner,28.2,8.0,0.75,6.0,207.3
33,Male,56.6,1.69,185.0,158.0,77.0,0.25,Mixed,16.6,3.8,2,Beginner,19.9,8.0,0.75,6.0,84.9
43,Male,68.6,1.76,178.0,132.0,76.0,0.83,Yoga,22.9,3.9,3,Beginner,22.2,3.0,0.5490196078431373,1.647058823529412,93.8
44,Female,63.8,1.62,176.0,151.0,77.0,0.45,Mixed,27.7,3.9,2,Beginner,24.3,8.0,0.7474747474747475,5.97979797979798,171.7
54,Female,60.9,1.68,169.0,155.0,71.0,0.7,HIIT,20.9,3.0,2,Beginner,21.5,9.5,0.8571428571428571,8.142857142857142,347.1
21,Male,74.4,1.66,191.0,146.0,63.0,0.97,Cardio,13.9,3.2,6,Advanced,26.9,7.0,0.6484375,4.5390625,327.6
41,Male,67.8,1.76,180.0,136.0,55.0,1.11,Cardio,17.6,3.4,6,Advanced,21.9,7.0,0.648,4.5360000000000005,341.4
36,Female,94.6,1.8,184.0,147.0,79.0,0.66,Cardio,24.4,2.6,3,Beginner,29.2,7.0,0.6476190476190476,4.533333333333333,283.0
53,Male,56.5,1.67,178.0,128.0,66.0,0.53,Yoga,21.1,3.8,4,Intermediate,20.3,3.0,0.5535714285714286,1.6607142857142858,49.7
56,Male,104.9,1.83,154.0,118.0,74.0,0.29,Yoga,24.8,3.6,3,Beginner,32.5,3.0,0.55,1.65,52.3
27,Male,104.9,1.83,198.0,143.0,76.0,0.25,Yoga,16.3,3.2,2,Beginner,32.1,3.0,0.5491803278688525,1.6475409836065575,44.4
42,Male,73.6,1.76,180.0,163.0,67.0,0.85,HIIT,18.1,3.4,4,Intermediate,23.6,9.5,0.8495575221238938,8.070796460176991,504.9
35,Male,75.8,1.63,189.0,150.0,60.0,1.42,Strength,16.7,4.0,7,Advanced,28.6,6.0,0.6976744186046512,4.186046511627907,450.6
36,Male,58.7,1.62,182.0,166.0,76.0,0.44,HIIT,21.1,2.0000000000000004,2,Beginner,22.4,9.5,0.8490566037735849,8.066037735849058,208.3
53,Female,71.7,1.6,169.0,131.0,61.0,1.07,Cardio,18.3,3.8,3,Intermediate,28.1,7.0,0.6481481481481481,4.537037037037037,348.1
27,Female,73.4,1.77,194.0,148.0,64.0,0.87,Cardio,22.4,3.1,7,Expert,23.3,7.0,0.6461538461538462,4.523076923076923,288.8
50,Female,45.8,1.56,188.0,152.0,68.0,0.67,Strength,19.4,3.2,5,Advanced,18.9,6.0,0.7,4.199999999999999,128.9
22,Female,55.0,1.75,196.0,141.0,72.0,0.49,Yoga,28.2,3.8,2,Beginner,18.0,3.0,0.5564516129032258,1.6693548387096773,45.0
52,Male,56.6,1.57,164.0,132.0,73.0,0.55,Cardio,22.6,2.5,2,Beginner,22.9,7.0,0.6483516483516484,4.538461538461538,141.3
51,Male,78.0,1.76,179.0,160.0,55.0,1.42,HIIT,9.6,3.8,7,Expert,25.1,9.5,0.8467741935483871,8.044354838709678,891.0
50,Female,82.9,1.68,172.0,147.0,73.0,0.57,Mixed,32.8,3.6,3,Beginner,29.3,8.0,0.7474747474747475,5.97979797979798,282.6
38,Female,79.4,1.81,185.0,150.0,69.0,0.58,Strength,26.7,3.4,3,Intermediate,24.1,6.0,0.6982758620689655,4.189655172413794,192.9
34,Female,90.2,1.79,192.0,161.0,68.0,0.75,Mixed,15.4,4.0,5,Intermediate,28.0,8.0,0.75,6.0,405.9
39,Female,73.8,1.82,181.0,150.0,77.0,1.01,Strength,14.7,3.8,5,Intermediate,22.2,6.0,0.7019230769230769,4.211538461538462,313.9
54,Female,75.5,1.83,164.0,135.0,66.0,0.44,Strength,28.0,3.2,2,Beginner,22.7,6.0,0.7040816326530612,4.224489795918368,140.3
32,Male,81.0,1.69,189.0,169.0,60.0,1.03,HIIT,15.9,3.6,4,Advanced,28.2,9.5,0.8449612403100775,8.027131782945736,669.7
52,Male,44.0,1.56,164.0,134.0,79.0,0.49,Cardio,25.5,2.0000000000000004,3,Beginner,18.0,7.0,0.6470588235294118,4.529411764705882,97.7
45,Female,59.6,1.57,168.0,128.0,80.0,0.74,Yoga,20.6,4.2,3,Intermediate,24.1,3.0,0.5454545454545454,1.6363636363636362,72.2
24,Female,48.5,1.47,192.0,148.0,66.0,0.89,Cardio,24.1,3.4,4,Intermediate,22.4,7.0,0.6507936507936508,4.555555555555555,196.6
49,Male,72.7,1.57,159.0,139.0,80.0,0.51,Mixed,25.4,3.7,2,Beginner,29.4,8.0,0.7468354430379747,5.974683544303797,221.5
28,Male,62.3,1.69,190.0,144.0,59.0,0.58,Cardio,17.3,2.4,4,Advanced,21.9,7.0,0.648854961832061,4.541984732824427,164.1
27,Male,68.7,1.62,191.0,157.0,58.0,1.14,Mixed,11.7,4.0,7,Expert,26.1,8.0,0.7443609022556391,5.954887218045113,466.4
26,Female,76.5,1.66,197.0,135.0,60.0,1.08,Yoga,16.8,4.1,7,Expert,27.7,3.0,0.5474452554744526,1.6423357664233578,135.7
31,Male,53.9,1.73,190.0,137.0,72.0,0.58,Yoga,27.4,3.7,3,Beginner,18.0,3.0,0.5508474576271186,1.652542372881356,51.7
30,Female,63.8,1.65,189.0,153.0,68.0,0.8,Strength,25.7,3.9,5,Intermediate,23.4,6.0,0.7024793388429752,4.214876033057851,215.1
42,Female,54.7,1.57,184.0,140.0,58.0,1.42,Cardio,23.7,4.4,4,Advanced,22.3,7.0,0.6507936507936508,4.555555555555555,353.8
19,Male,77.9,1.67,199.0,180.0,73.0,0.76,HIIT,21.5,2.8,4,Intermediate,27.8,9.5,0.8492063492063492,8.067460317460318,477.6
52,Male,67.5,1.59,162.0,147.0,61.0,1.14,HIIT,17.3,3.8,6,Advanced,26.7,9.5,0.8514851485148515,8.089108910891088,622.5
24,Male,63.0,1.65,183.0,126.0,57.0,1.12,Yoga,10.5,4.5,5,Expert,23.1,3.0,0.5476190476190477,1.642857142857143,115.9
38,Female,65.2,1.81,182.0,132.0,71.0,0.69,Yoga,30.4,3.6,3,Beginner,19.8,3.0,0.5495495495495496,1.648648648648649,74.2
35,Male,76.9,1.65,185.0,154.0,61.0,0.95,Mixed,18.9,4.6,5,Advanced,28.2,8.0,0.75,6.0,438.3
20,Male,81.8,1.86,205.0,160.0,76.0,0.5,Cardio,24.2,2.4,3,Beginner,23.7,7.0,0.6511627906976745,4.558139534883721,186.4
59,Female,59.8,1.82,157.0,133.0,60.0,1.32,Mixed,13.1,4.9,7,Expert,18.0,8.0,0.7525773195876289,6.020618556701031,475.2
56,Male,47.4,1.62,168.0,141.0,78.0,1.07,Strength,17.6,3.8,4,Advanced,18.0,6.0,0.7,4.199999999999999,213.0
58,Male,63.4,1.57,150.0,122.0,69.0,1.09,Cardio,18.4,3.0,3,Intermediate,25.8,7.0,0.654320987654321,4.580246913580247,316.5
28,Female,53.0,1.67,186.0,131.0,64.0,0.92,Yoga,22.0,3.9,5,Advanced,18.9,3.0,0.5491803278688525,1.6475409836065575,80.3
56,Female,101.3,1.8,166.0,124.0,72.0,0.93,Yoga,19.2,3.9,7,Advanced,31.4,3.0,0.5531914893617021,1.6595744680851063,156.3
41,Female,53.9,1.63,182.0,143.0,71.0,0.65,Cardio,24.7,2.6,3,Intermediate,20.3,7.0,0.6486486486486487,4.54054054054054,159.1
36,Female,75.3,1.77,176.0,141.0,60.0,1.16,Strength,8.4,3.8,5,Expert,24.0,6.0,0.6982758620689655,4.189655172413794,366.0
21,Female,79.9,1.8,195.0,165.0,74.0,0.66,Mixed,26.4,3.9,2,Beginner,24.6,8.0,0.7520661157024794,6.016528925619835,317.3
43,Male,54.1,1.6,177.0,142.0,61.0,1.22,Strength,8.9,4.4,6,Expert,21.1,6.0,0.6982758620689655,4.189655172413794,276.5
55,Male,46.8,1.61,165.0,152.0,80.0,0.8,HIIT,26.4,3.1,3,Beginner,18.0,9.5,0.8470588235294118,8.047058823529412,301.3
59,Female,75.9,1.75,164.0,133.0,77.0,0.75,Cardio,22.0,2.8,5,Intermediate,24.8,7.0,0.6436781609195402,4.505747126436781,256.5
49,Male,60.3,1.7,176.0,133.0,80.0,0.37,Yoga,19.6,3.5,2,Beginner,21.0,3.0,0.5520833333333334,1.65625,37.0
56,Male,63.5,1.61,158.0,146.0,77.0,0.44,HIIT,21.3,2.9,2,Beginner,24.5,9.5,0.8518518518518519,8.092592592592593,226.1
53,Female,63.6,1.64,169.0,140.0,71.0,0.58,Strength,22.8,3.4,4,Intermediate,23.5,6.0,0.7040816326530612,4.224489795918368,155.8
57,Female,70.1,1.67,159.0,137.0,85.0,0.47,Strength,31.8,3.3,2,Beginner,25.1,6.0,0.7027027027027027,4.216216216216217,138.9
54,Female,70.2,1.52,168.0,118.0,58.0,1.35,Yoga,21.1,3.9,5,Expert,30.2,3.0,0.5454545454545454,1.6363636363636362,155.1
50,Male,67.3,1.76,168.0,154.0,78.0,0.39,HIIT,21.8,3.2,3,Beginner,21.8,9.5,0.8444444444444444,8.022222222222222,210.6
53,Female,58.9,1.63,172.0,145.0,81.0,0.54,Strength,36.9,3.3,2,Beginner,22.1,6.0,0.7032967032967034,4.21978021978022,134.2
20,Male,37.8,1.45,203.0,169.0,65.0,1.4,Mixed,15.3,4.9,7,Expert,18.0,8.0,0.7536231884057971,6.028985507246377,319.1
26,Male,65.3,1.68,189.0,157.0,61.0,0.77,Mixed,17.0,4.4,7,Advanced,23.2,8.0,0.75,6.0,301.7
25,Male,66.1,1.61,187.0,160.0,79.0,1.06,Mixed,15.2,3.8,4,Advanced,25.6,8.0,0.75,6.0,420.4
50,Male,75.4,1.85,176.0,162.0,83.0,0.54,HIIT,28.7,3.2,3,Beginner,22.1,9.5,0.8494623655913979,8.06989247311828,328.6
23,Female,67.5,1.62,193.0,138.0,70.0,1.04,Yoga,26.1,3.7,4,Advanced,25.7,3.0,0.5528455284552846,1.6585365853658538,116.4
58,Male,57.4,1.57,159.0,126.0,65.0,0.74,Cardio,20.3,2.7,3,Intermediate,23.3,7.0,0.648936170212766,4.542553191489362,192.9
56,Female,56.3,1.73,168.0,142.0,65.0,0.95,Mixed,12.6,4.5,6,Expert,18.8,8.0,0.7475728155339806,5.980582524271845,319.9
21,Male,65.8,1.61,194.0,131.0,55.0,0.63,Yoga,19.7,3.9,6,Advanced,25.2,3.0,0.5467625899280576,1.640287769784173,68.0
30,Female,59.5,1.6,191.0,153.0,64.0,0.99,Strength,14.5,3.9,5,Advanced,23.2,6.0,0.7007874015748031,4.2047244094488185,247.7
19,Female,73.4,1.73,201.0,154.0,66.0,0.96,Cardio,21.2,2.6,6,Advanced,24.5,7.0,0.6518518518518519,4.562962962962963,321.5
22,Female,54.0,1.58,198.0,159.0,68.0,0.76,Strength,15.0,3.4,4,Intermediate,21.7,6.0,0.7,4.199999999999999,172.4
44,Male,50.3,1.53,182.0,166.0,73.0,1.12,HIIT,15.6,3.3,7,Advanced,21.4,9.5,0.8532110091743119,8.105504587155963,456.6
